EN no.,JP no.,EN symbol,JP symbol,English name,Japanese name,EN cards,JP cards,EN release date,JP release date,Set abb.
1,1,—,—,Base Set,Expansion Pack,102,102,"January 9, 1999","October 20, 1996",BS
2,2,,,Jungle,Pokémon Jungle,64,48,"June 16, 1999","March 5, 1997",JU
3,3,,,Fossil,Mystery of the Fossils,62,48,"October 10, 1999","June 21, 1997",FO
4,—,,—,Base Set 2,—,130,—,"February 24, 2000",—,B2
5,4,,,Team Rocket,Rocket Gang,83,65,"April 24, 2000","November 21, 1997",TR
6,5,,,Gym Heroes,Leaders' Stadium,132,96,"August 14, 2000","October 24, 1998",G1
7,6,,,Gym Challenge,Challenge from the Darkness,132,98,"October 16, 2000","June 25, 1999",G2
8,7,,,Neo Genesis,"Gold, Silver, to a New World...",111,96,"December 16, 2000","February 4, 2000",N1
9,8,,,Neo Discovery,Crossing the Ruins...,75,56,"June 1, 2001","July 7, 2000",N2
10,9,,,Neo Revelation,Awakening Legends,66,57,"September 21, 2001","November 23, 2000",N3
11,10,,,Neo Destiny,"Darkness, and to Light...",113,113,"February 28, 2002","April 20, 2001",N4
—,11,—,,—,Pokémon Card★VS,—,151,—,"July 19, 2001",—
—,12,—,,—,Pokémon Card★web,—,48,—,"October 20, 2001",—
12,—,,—,Legendary Collection,—,110,—,"May 24, 2002",—,LC
13,13,,,Expedition Base Set,Base Expansion Pack,165,128,"September 15, 2002","December 1, 2001",EX
14,"14 *
15 *",,,Aquapolis,"The Town on No Map
Wind from the Sea",186,"92
90","January 15, 2003","March 8, 2002 *
May 24, 2002 *",AQ
15,"16 *
17 *",,,Skyridge,"Split Earth
Mysterious Mountains",182,"91
91","May 12, 2003","August 23, 2002 *
October 4, 2002 *",SK
16,18,,,EX Ruby & Sapphire,Expansion Pack,109,55,"June 18, 2003","January 31, 2003",RS
17,19,,,EX Sandstorm,Miracle of the Desert,100,53,"September 18, 2003","April 18, 2003",SS
18,20,,,EX Dragon,Rulers of the Heavens,100,54,"November 24, 2003","June 25, 2003",DR
19,—,,,EX Team Magma vs Team Aqua,Magma VS Aqua: Two Ambitions,97,80,"March 15, 2004","October 24, 2003",MA
20,21,,,EX Hidden Legends,Undone Seal,102,83,"June 14, 2004","January 16, 2004",HL
21,22,,,EX FireRed & LeafGreen,Flight of Legends,116,82,"August 30, 2004","April 9, 2004",FL
22,24,,,EX Team Rocket Returns,Rocket Gang Strikes Back,111,85,"November 8, 2004","October 15, 2004",TRR
23,23,,,EX Deoxys,Clash of the Blue Sky,108,82,"February 14, 2005","July 1, 2004",DX
24,—,,—,EX Emerald,—,107,—,"May 9, 2005",—,EM
25,25,,,EX Unseen Forces,"Golden Sky, Silvery Ocean",145,106,"August 22, 2005","April 8, 2005",UF
26,27,,,EX Delta Species,Holon Research Tower,114,86,"October 31, 2005","October 28, 2005",DS
27,26,,,EX Legend Maker,Mirage Forest,93,86,"February 13, 2006","June 30, 2005",LM
28,28,,,EX Holon Phantoms,Holon Phantom,111,52,"May 3, 2006","January 27, 2006",HP
29,29,,,EX Crystal Guardians,Miracle Crystal,100,75,"August 30, 2006","March 10, 2006",CG
