EN symbol,JP symbol,English name,Japanese name,EN cards,JP cards,EN release date,JP release date,Set abb.
,,Southern Islands,Southern Islands,18,18,"July 31, 2001","July 17, 1999",SI
,—,Poké Card Creator Pack,—,5,—,"July, 2004",—,CC
,,Pokémon Rumble,Melee! Pokémon Scramble × Pokémon Card Game,16,19,"December 2, 2009","July 10, 2009",RM
,,Dragon Vault,Dragon Selection,21,20,"October 5, 2012","January 27, 2012",DRV
,,Kalos Starter Set,Beginning Set,39,39,"November 8, 2013","November 8, 2013",KSS
,,Double Crisis,Magma Gang VS Aqua Gang: Double Crisis,34,34,"March 25, 2015","January 30, 2015",DCR
,,Generations,Starter Pack,115,77,"February 22, 2016","February 27, 2016",GEN
—,,—,Strength Expansion Pack Sun & Moon,—,68,—,"January 27, 2017",
—,,—,Facing a New Trial,—,66,—,"April 21, 2017",
—,,—,The Best of XY,—,188,—,"April 21, 2017",
,,Shining Legends,Strength Expansion Pack Shining Legends,78,82,"October 6, 2017","July 15, 2017",SLG
—,,—,GX Battle Boost,—,125,—,"October 20, 2017",
—,,—,Ultra Force,—,63,—,"January 19, 2018",
,,Dragon Majesty,Strength Expansion Pack Dragon Storm,78,66,"September 7, 2018","April 6, 2018",DRM
,,Detective Pikachu,Movie Special Pack Great Detective Pikachu,18,25,"March 29, 2019","April 26, 2019",DET
,,Hidden Fates,High Class Pack GX Ultra Shiny,163,250,"August 23, 2019","November 2, 2018",HIF
,—,Pokémon Futsal,—,5,—,"September 11, 2020",—,FUT
,—,Champion's Path,—,80,—,"September 25, 2020",—,CPA
,,Shining Fates,High Class Pack Shiny Star V,195,330,"February 19, 2021","November 20, 2020",SHF
,,Celebrations,25th Anniversary Collection,50,38,"October 8, 2021","October 22, 2021",CEL
,,Pokémon GO,Strength Expansion Pack Pokémon GO,88,101,"July 1, 2022","June 17, 2022",PGO
