Ndex,MS,English,Japanese,Japanese,Japanese
Ndex,MS,English,Kana,Hepburn,Trademarked
722,,Rowlet,モクロー,Mokurō,Mokuroh
723,,Dartrix,フクスロー,Fukusurō,Fukuthrow
724,,Decidueye,ジュナイパー,Junaipā,Junaiper
725,,Litten,ニャビー,Nyabī,Nyabby
726,,Torracat,ニャヒート,Nyahīto,Nyaheat
727,,Incineroar,ガオガエン,Gaogaen,Gaogaen
728,,Popplio,アシマリ,Ashimari,Ashimari
729,,Brionne,オシャマリ,Oshamari,Osyamari
730,,Primarina,アシレーヌ,Ashirēnu,Ashirene
731,,Pikipek,ツツケラ,Tsutsukera,Tsutsukera
732,,Trumbeak,ケララッパ,Kerarappa,Kerarappa
733,,Toucannon,ドデカバシ,Dodekabashi,Dodekabashi
734,,Yungoos,ヤングース,Yangūsu,Youngoose
735,,Gumshoos,デカグース,Dekagūsu,Dekagoose
736,,Grubbin,アゴジムシ,Agojimushi,Agojimushi
737,,Charjabug,デンヂムシ,Denjimushi,Dendimushi
738,,Vikavolt,クワガノン,Kuwaganon,Kuwagannon
739,,Crabrawler,マケンカニ,Makenkani,Makenkani
740,,Crabominable,ケケンカニ,Kekenkani,Kekenkani
741,,Oricorio,オドリドリ,Odoridori,Odoridori
742,,Cutiefly,アブリー,Aburī,Abuly
743,,Ribombee,アブリボン,Aburibon,Aburibbon
744,,Rockruff,イワンコ,Iwanko,Iwanko
745,,Lycanroc,ルガルガン,Rugarugan,Lugarugan
746,,Wishiwashi,ヨワシ,Yowashi,Yowashi
747,,Mareanie,ヒドイデ,Hidoide,Hidoide
748,,Toxapex,ドヒドイデ,Dohidoide,Dohidoide
749,,Mudbray,ドロバンコ,Dorobanko,Dorobanko
750,,Mudsdale,バンバドロ,Banbadoro,Banbadoro
751,,Dewpider,シズクモ,Shizukumo,Shizukumo
752,,Araquanid,オニシズクモ,Onishizukumo,Onishizukumo
753,,Fomantis,カリキリ,Karikiri,Karikiri
754,,Lurantis,ラランテス,Rarantesu,Lalantes
755,,Morelull,ネマシュ,Nemashu,Nemasyu
756,,Shiinotic,マシェード,Mashēdo,Mashade
757,,Salandit,ヤトウモリ,Yatōmori,Yatoumori
758,,Salazzle,エンニュート,Ennyūto,Ennewt
759,,Stufful,ヌイコグマ,Nuikoguma,Nuikoguma
760,,Bewear,キテルグマ,Kiteruguma,Kiteruguma
761,,Bounsweet,アマカジ,Amakaji,Amakaji
762,,Steenee,アママイコ,Amamaiko,Amamaiko
763,,Tsareena,アマージョ,Amājo,Amajo
764,,Comfey,キュワワー,Kyuwawā,Cuwawa
765,,Oranguru,ヤレユータン,Yareyūtan,Yareyuutan
766,,Passimian,ナゲツケサル,Nagetsukesaru,Nagetukesaru
767,,Wimpod,コソクムシ,Kosokumushi,Kosokumushi
768,,Golisopod,グソクムシャ,Gusokumusha,Gusokumusha
769,,Sandygast,スナバァ,Sunabā,Sunaba
770,,Palossand,シロデスナ,Shirodesuna,Sirodethna
771,,Pyukumuku,ナマコブシ,Namakobushi,Namakobushi
772,,Type: Null,タイプ：ヌル,Taipu:Nuru,Type: Null
773,,Silvally,シルヴァディ,Shiruvadi,Silvady
774,,Minior,メテノ,Meteno,Meteno
775,,Komala,ネッコアラ,Nekkoara,Nekkoara
776,,Turtonator,バクガメス,Bakugamesu,Bakugames
777,,Togedemaru,トゲデマル,Togedemaru,Togedemaru
778,,Mimikyu,ミミッキュ,Mimikkyu,Mimikkyu
779,,Bruxish,ハギギシリ,Hagigishiri,Hagigishiri
780,,Drampa,ジジーロン,Jijīron,Jijilong
781,,Dhelmise,ダダリン,Dadarin,Dadarin
782,,Jangmo-o,ジャラコ,Jarako,Jyarako
783,,Hakamo-o,ジャランゴ,Jarango,Jyarango
784,,Kommo-o,ジャラランガ,Jararanga,Jyararanga
785,,Tapu Koko,カプ・コケコ,Kapu Kokeko,Kapu-Kokeko
786,,Tapu Lele,カプ・テテフ,Kapu Tetefu,Kapu-Tetefu
787,,Tapu Bulu,カプ・ブルル,Kapu Bururu,Kapu-Bulul
788,,Tapu Fini,カプ・レヒレ,Kapu Rehire,Kapu-Rehire
789,,Cosmog,コスモッグ,Kosumoggu,Cosmog
790,,Cosmoem,コスモウム,Kosumoumu,Cosmovum
791,,Solgaleo,ソルガレオ,Sorugareo,Solgaleo
792,,Lunala,ルナアーラ,Runaāra,Lunala
793,,Nihilego,ウツロイド,Utsuroido,Uturoid
794,,Buzzwole,マッシブーン,Masshibūn,Massivoon
795,,Pheromosa,フェローチェ,Ferōche,Pheroache
796,,Xurkitree,デンジュモク,Denjumoku,Denjyumoku
797,,Celesteela,テッカグヤ,Tekkaguya,Tekkaguya
798,,Kartana,カミツルギ,Kamitsurugi,Kamiturugi
799,,Guzzlord,アクジキング,Akujikingu,Akuziking
800,,Necrozma,ネクロズマ,Nekurozuma,Necrozma
801,,Magearna,マギアナ,Magiana,Magearna
802,,Marshadow,マーシャドー,Māshadō,Marshadow
803,,Poipole,ベベノム,Bebenomu,Bevenom
804,,Naganadel,アーゴヨン,Āgoyon,Agoyon
805,,Stakataka,ツンデツンデ,Tsundetsunde,Tundetunde
806,,Blacephalon,ズガドーン,Zugadōn,Zugadoon
807,,Zeraora,ゼラオラ,Zeraora,Zeraora
808,,Meltan,メルタン,Merutan,Meltan
809,,Melmetal,メルメタル,Merumetaru,Melmetal
