Category: All categories

Month,Pokémon Trading Card Game: (Worldwide),Magic: The Gathering: (Worldwide)
2004-01,8,100
2004-02,10,91
2004-03,10,93
2004-04,10,92
2004-05,11,94
2004-06,12,94
2004-07,12,87
2004-08,12,82
2004-09,9,83
2004-10,9,82
2004-11,9,72
2004-12,8,65
2005-01,6,63
2005-02,8,59
2005-03,9,60
2005-04,9,58
2005-05,9,58
2005-06,9,59
2005-07,10,60
2005-08,10,68
2005-09,9,60
2005-10,10,60
2005-11,8,54
2005-12,8,50
2006-01,6,50
2006-02,7,53
2006-03,7,49
2006-04,9,53
2006-05,9,50
2006-06,10,49
2006-07,10,56
2006-08,9,55
2006-09,11,55
2006-10,12,52
2006-11,11,46
2006-12,10,43
2007-01,7,44
2007-02,8,41
2007-03,10,37
2007-04,9,45
2007-05,11,40
2007-06,15,39
2007-07,13,50
2007-08,11,44
2007-09,13,42
2007-10,13,42
2007-11,11,35
2007-12,11,37
2008-01,9,35
2008-02,10,31
2008-03,12,35
2008-04,11,40
2008-05,13,39
2008-06,14,39
2008-07,12,42
2008-08,11,42
2008-09,12,41
2008-10,14,38
2008-11,12,35
2008-12,12,38
2009-01,9,40
2009-02,10,40
2009-03,12,38
2009-04,12,45
2009-05,13,46
2009-06,13,48
2009-07,12,54
2009-08,10,55
2009-09,10,52
2009-10,11,47
2009-11,10,42
2009-12,10,44
2010-01,8,46
2010-02,9,46
2010-03,10,47
2010-04,10,47
2010-05,12,48
2010-06,12,55
2010-07,10,59
2010-08,10,53
2010-09,9,56
2010-10,9,49
2010-11,9,44
2010-12,9,47
2011-01,7,53
2011-02,8,49
2011-03,9,49
2011-04,12,57
2011-05,11,55
2011-06,13,76
2011-07,12,72
2011-08,11,68
2011-09,12,70
2011-10,11,60
2011-11,10,54
2011-12,10,51
2012-01,8,61
2012-02,10,62
2012-03,10,55
2012-04,12,71
2012-05,11,61
2012-06,12,65
2012-07,11,72
2012-08,11,70
2012-09,10,75
2012-10,11,65
2012-11,10,61
2012-12,9,58
2013-01,8,75
2013-02,10,73
2013-03,11,63
2013-04,10,69
2013-05,12,74
2013-06,13,71
2013-07,12,77
2013-08,11,79
2013-09,11,81
2013-10,13,73
2013-11,14,63
2013-12,14,64
2014-01,10,75
2014-02,11,74
2014-03,12,63
2014-04,12,70
2014-05,12,71
2014-06,12,67
2014-07,11,76
2014-08,12,75
2014-09,12,71
2014-10,14,71
2014-11,14,62
2014-12,13,65
2015-01,12,72
2015-02,12,68
2015-03,12,72
2015-04,12,69
2015-05,14,69
2015-06,15,72
2015-07,14,80
2015-08,12,79
2015-09,13,73
2015-10,14,69
2015-11,14,63
2015-12,15,62
2016-01,12,67
2016-02,14,67
2016-03,16,70
2016-04,15,68
2016-05,16,68
2016-06,17,63
2016-07,26,64
2016-08,27,61
2016-09,28,65
2016-10,27,60
2016-11,27,52
2016-12,28,59
2017-01,20,64
2017-02,20,61
2017-03,18,64
2017-04,17,72
2017-05,15,62
2017-06,13,70
2017-07,14,68
2017-08,14,65
2017-09,13,70
2017-10,14,62
2017-11,15,61
2017-12,15,62
2018-01,13,65
2018-02,13,65
2018-03,13,70
2018-04,12,72
2018-05,13,70
2018-06,13,71
2018-07,17,74
2018-08,24,72
2018-09,30,74
2018-10,24,73
2018-11,26,66
2018-12,25,68
2019-01,21,74
2019-02,15,66
2019-03,16,69
2019-04,24,87
2019-05,28,85
2019-06,29,83
2019-07,25,77
2019-08,28,75
2019-09,25,72
2019-10,24,77
2019-11,24,70
2019-12,28,66
2020-01,22,77
2020-02,24,70
2020-03,21,56
2020-04,18,67
2020-05,18,58
2020-06,19,79
2020-07,22,62
2020-08,22,64
2020-09,22,64
2020-10,33,54
2020-11,39,49
2020-12,39,50
2021-01,40,58
2021-02,43,56
2021-03,46,59
2021-04,46,65
2021-05,54,65
2021-06,52,64
2021-07,49,73
2021-08,42,65
2021-09,46,61
2021-10,59,51
2021-11,50,58
2021-12,62,54
2022-01,53,69
2022-02,53,77
2022-03,50,65
2022-04,54,74
2022-05,54,69
2022-06,54,71
2022-07,57,77
2022-08,58,81
2022-09,60,78
